iter	Passed	Remaining
1298	49818	65236
1299	49856	65197
1300	49895	65159
1301	49932	65119
1302	49969	65079
1303	50006	65039
1304	50044	65000
1305	50083	64962
1306	50121	64924
1307	50159	64884
1308	50196	64844
1309	50234	64806
1310	50272	64767
1311	50309	64728
1312	50348	64689
1313	50386	64650
1314	50423	64611
1315	50463	64574
1316	50502	64537
1317	50542	64500
1318	50580	64462
1319	50618	64423
1320	50656	64384
1321	50694	64345
1322	50732	64307
1323	50769	64267
1324	50807	64228
1325	50845	64189
1326	50882	64149
1327	50920	64110
1328	50957	64070
1329	50995	64031
1330	51032	63992
1331	51070	63952
1332	51107	63913
1333	51145	63873
1334	51182	63833
1335	51221	63797
1336	51260	63758
1337	51297	63719
1338	51334	63679
1339	51372	63640
1340	51409	63601
1341	51447	63562
1342	51488	63526
1343	51526	63488
1344	51564	63448
1345	51601	63409
1346	51639	63370
1347	51676	63330
1348	51714	63291
1349	51751	63251
1350	51787	63211
1351	51825	63172
1352	51865	63135
1353	51903	63096
1354	51943	63060
1355	51981	63022
1356	52019	62982
1357	52057	62943
1358	52096	62906
1359	52133	62866
1360	52170	62827
1361	52208	62788
1362	52245	62748
1363	52282	62708
1364	52320	62670
1365	52358	62630
1366	52396	62591
1367	52433	62552
1368	52472	62515
1369	52513	62479
1370	52552	62442
1371	52590	62403
1372	52628	62364
1373	52666	62325
1374	52704	62287
1375	52743	62249
1376	52780	62210
1377	52817	62170
1378	52855	62131
1379	52893	62092
1380	52930	62053
1381	52968	62013
1382	53007	61976
1383	53044	61936
1384	53082	61897
1385	53119	61857
1386	53156	61818
1387	53193	61778
1388	53232	61741
1389	53270	61702
1390	53309	61663
1391	53347	61625
1392	53385	61586
1393	53422	61547
1394	53462	61510
1395	53502	61474
1396	53540	61435
1397	53578	61396
1398	53615	61356
1399	53652	61316
1400	53689	61277
1401	53727	61238
1402	53764	61198
1403	53802	61159
1404	53839	61120
1405	53877	61081
1406	53915	61043
1407	53953	61003
1408	53990	60964
1409	54028	60925
1410	54066	60886
1411	54104	60848
1412	54141	60808
1413	54179	60769
1414	54215	60729
1415	54253	60689
1416	54291	60651
1417	54330	60614
1418	54369	60576
1419	54407	60538
1420	54447	60501
1421	54485	60462
1422	54522	60423
1423	54560	60384
1424	54598	60345
1425	54635	60306
1426	54672	60266
1427	54711	60228
1428	54749	60189
1429	54786	60150
1430	54824	60111
1431	54861	60071
1432	54898	60032
1433	54937	59994
1434	54976	59957
1435	55014	59918
1436	55051	59878
1437	55089	59840
1438	55128	59802
1439	55168	59765
